wall_time_iso,step,left_ft_joint,right_ft_joint
2026-02-26T14:50:09.301,67,"[0.656043291091919, 10.605079650878906, -45.80535888671875, 0.07046259194612503, -0.28358322381973267, 0.013011442497372627]","[0.010946265421807766, 0.052987828850746155, 0.08578311651945114, 0.0008058834937401116, -0.00016435618454124779, 1.3802039575239178e-05]"
2026-02-26T14:50:09.337,68,"[0.6545352935791016, 10.604085922241211, -45.82353210449219, 0.07026220858097076, -0.28379911184310913, 0.013479134067893028]","[0.011398528702557087, 0.05193912237882614, 0.0843612402677536, 0.0007925883983261883, -0.00016194253112189472, 2.046185909421183e-05]"
2026-02-26T14:50:09.372,69,"[0.6516193747520447, 10.609366416931152, -45.841373443603516, 0.07007655501365662, -0.2839795649051666, 0.013856346718966961]","[0.011994692496955395, 0.05173678696155548, 0.08434370905160904, 0.0007924014935269952, -0.00016214908100664616, 2.6473087928025052e-05]"
2026-02-26T14:50:09.408,70,"[0.647262692451477, 10.620841979980469, -45.85851287841797, 0.06991598010063171, -0.2841440439224243, 0.013951346278190613]","[0.012799816206097603, 0.05196807160973549, 0.08509274572134018, 0.0007993602193892002, -0.00016373487596865743, 3.056921559618786e-05]"
2026-02-26T14:50:09.446,71,"[0.6404081583023071, 10.637399673461914, -45.873924255371094, 0.06976992636919022, -0.2842935025691986, 0.013461723923683167]","[0.013483265414834023, 0.052854862064123154, 0.08679500222206116, 0.0008152343798428774, -0.00016717106336727738, 3.2375959563069046e-05]"
2026-02-26T14:50:09.483,72,"[0.6338809132575989, 10.657264709472656, -45.88824462890625, 0.06964518129825592, -0.2844676971435547, 0.01221559289842844]","[0.014077506959438324, 0.054068103432655334, 0.08893287181854248, 0.0008351759170182049, -0.00017145152378361672, 3.132526035187766e-05]"
2026-02-26T14:50:09.519,73,"[0.6285104751586914, 10.677520751953125, -45.899410247802734, 0.06954628974199295, -0.2846641540527344, 0.010430403985083103]","[0.014436561614274979, 0.05509980767965317, 0.09067168086767197, 0.0008513756329193711, -0.00017496699001640081, 2.7916341423406266e-05]"
2026-02-26T14:50:09.554,74,"[0.6248283386230469, 10.696093559265137, -45.90800476074219, 0.06946960091590881, -0.28484463691711426, 0.008645555004477501]","[0.01521848514676094, 0.05592413246631622, 0.0922718420624733, 0.0008662610198371112, -0.0001780398451955989, 2.3138247343013063e-05]"
2026-02-26T14:50:09.592,75,"[0.6237556338310242, 10.711848258972168, -45.9140625, 0.06942562758922577, -0.2849753201007843, 0.007430737838149071]","[0.01569335162639618, 0.05673644691705704, 0.09373831748962402, 0.0008798780618235469, -0.00018088721844833344, 1.863006218627561e-05]"
2026-02-26T14:50:09.630,76,"[0.6230722069740295, 10.725021362304688, -45.917171478271484, 0.06941013783216476, -0.2850298285484314, 0.007088114507496357]","[0.016040289774537086, 0.056842584162950516, 0.09407762438058853, 0.000882939260918647, -0.00018150651885662228, 1.4322532479127403e-05]"
